disorder_id,orpha_code,disorder_name,gene_symbol,gene_name,gene_type,gene_locus,association_type,association_status,source_of_validation
1351,1052,Mosaic variegated aneuploidy syndrome,BUB3,BUB3 mitotic checkpoint protein,gene with protein product,10q26.13,Disease-causing germline mutation(s) in,Assessed,23747338[PMID]
1346,1040,Metaphyseal anadysplasia,MMP13,matrix metallopeptidase 13,gene with protein product,11q22.2,Disease-causing germline mutation(s) (loss of function) in,Assessed,19615667[PMID]_24781753[PMID]
1346,1040,Metaphyseal anadysplasia,MMP13,matrix metallopeptidase 13,gene with protein product,11q22.2,Disease-causing germline mutation(s) (gain of function) in,Assessed,19615667[PMID]_24781753[PMID]
1346,1040,Metaphyseal anadysplasia,MMP9,matrix metallopeptidase 9,gene with protein product,20q13.12,Disease-causing germline mutation(s) (loss of function) in,Assessed,19615667[PMID]
1388,1106,Microphthalmia with limb anomalies,SMOC1,SPARC related modular calcium binding 1,gene with protein product,14q24.1,Disease-causing germline mutation(s) in,Assessed,
1305,990,Agnathia-holoprosencephaly-situs inversus syndrome,OTX2,orthodenticle homeobox 2,gene with protein product,14q22.3,Modifying germline mutation in,Assessed,22577225[PMID]
1305,990,Agnathia-holoprosencephaly-situs inversus syndrome,PRRX1,paired related homeobox 1,gene with protein product,1q24.2,Disease-causing germline mutation(s) (loss of function) in,Assessed,21294718[PMID]
1310,994,Fetal akinesia deformation sequence,SLC18A3,solute carrier family 18 member A3,gene with protein product,10q11.23,Disease-causing germline mutation(s) in,Assessed,31059209[PMID]
1310,994,Fetal akinesia deformation sequence,MYOD1,myogenic differentiation 1,gene with protein product,11p15.1,Disease-causing germline mutation(s) (loss of function) in,Assessed,26733463[PMID]
1310,994,Fetal akinesia deformation sequence,RAPSN,receptor associated protein of the synapse,gene with protein product,11p11.2,Disease-causing germline mutation(s) (loss of function) in,Assessed,18179903[PMID]
1310,994,Fetal akinesia deformation sequence,DOK7,docking protein 7,gene with protein product,4p16.3,Disease-causing germline mutation(s) (loss of function) in,Assessed,19261599[PMID]
1310,994,Fetal akinesia deformation sequence,MUSK,muscle associated receptor tyrosine kinase,gene with protein product,9q31.3,Disease-causing germline mutation(s) (loss of function) in,Assessed,25612909[PMID]_25537362[PMID]
1310,994,Fetal akinesia deformation sequence,NUP88,nucleoporin 88,gene with protein product,17p13.2,Disease-causing germline mutation(s) (loss of function) in,Assessed,30543681[PMID]
1310,994,Fetal akinesia deformation sequence,GLDN,gliomedin,gene with protein product,15q21.2,Disease-causing germline mutation(s) in,Assessed,32812332[PMID]
1310,994,Fetal akinesia deformation sequence,KIF21A,kinesin family member 21A,gene with protein product,12q12,Disease-causing germline mutation(s) (loss of function) in,Assessed,34740919[PMID]
1310,994,Fetal akinesia deformation sequence,MAGEL2,MAGE family member L2,gene with protein product,15q11.2,Disease-causing germline mutation(s) in,Assessed,26365340[PMID]
1310,994,Fetal akinesia deformation sequence,TUBA1A,tubulin alpha 1a,gene with protein product,12q13.12,Disease-causing germline mutation(s) in,Assessed,35686685[PMID]
1309,51,Aicardi-Goutières syndrome,LSM11,"LSM11, U7 small nuclear RNA associated",gene with protein product,5q33.3,Disease-causing germline mutation(s) in,Assessed,33230297[PMID]
1309,51,Aicardi-Goutières syndrome,RNU7-1,"RNA, U7 small nuclear 1",Non-coding RNA,12p13.31,Disease-causing germline mutation(s) in,Assessed,33230297[PMID]
1309,51,Aicardi-Goutières syndrome,SAMHD1,SAM and HD domain containing deoxynucleoside triphosphate triphosphohydrolase 1,gene with protein product,20q11.23,Disease-causing germline mutation(s) in,Assessed,20301648[PMID]_20842748[PMID]_19525956[PMID]
1309,51,Aicardi-Goutières syndrome,RNASEH2A,ribonuclease H2 subunit A,gene with protein product,19p13.13,Disease-causing germline mutation(s) in,Assessed,20301648[PMID]
1309,51,Aicardi-Goutières syndrome,RNASEH2B,ribonuclease H2 subunit B,gene with protein product,13q14.3,Disease-causing germline mutation(s) in,Assessed,20301648[PMID]
1309,51,Aicardi-Goutières syndrome,RNASEH2C,ribonuclease H2 subunit C,gene with protein product,11q13.1,Disease-causing germline mutation(s) in,Assessed,20301648[PMID]
1309,51,Aicardi-Goutières syndrome,ADAR,adenosine deaminase RNA specific,gene with protein product,1q21.3,Disease-causing germline mutation(s) in,Assessed,20301648[PMID]_23001123[PMID]
1309,51,Aicardi-Goutières syndrome,TREX1,three prime repair exonuclease 1,gene with protein product,3p21.31,Disease-causing germline mutation(s) in,Assessed,20301648[PMID]_16845398[PMID]_17357087[PMID]_20799324[PMID]
1309,51,Aicardi-Goutières syndrome,IFIH1,interferon induced with helicase C domain 1,gene with protein product,2q24.2,Disease-causing germline mutation(s) (gain of function) in,Assessed,24686847[PMID]_24995871[PMID]
1297,978,ADULT syndrome,TP63,tumor protein p63,gene with protein product,3q28,Disease-causing germline mutation(s) in,Assessed,17041931[PMID]
1303,988,Tibial hemimelia-polysyndactyly-triphalangeal thumb syndrome,SHH,sonic hedgehog signaling molecule,gene with protein product,7q36.3,Disease-causing germline mutation(s) in,Assessed,9600232[PMID]
1303,988,Tibial hemimelia-polysyndactyly-triphalangeal thumb syndrome,LMBR1,limb development membrane protein 1,gene with protein product,7q36.3,Disease-causing germline mutation(s) in,Assessed,19847792[PMID]
1300,983,Testicular regression syndrome,DHX37,DEAH-box helicase 37,gene with protein product,12q24.31,Disease-causing germline mutation(s) in,Assessed,31287541[PMID]
1290,970,Hereditary sensory and autonomic neuropathy type 2,SCN9A,sodium voltage-gated channel alpha subunit 9,gene with protein product,2q24.3,Disease-causing germline mutation(s) (loss of function) in,Assessed,23596073[PMID]
1290,970,Hereditary sensory and autonomic neuropathy type 2,WNK1,WNK lysine deficient protein kinase 1,gene with protein product,12p13.33,Disease-causing germline mutation(s) (loss of function) in,Assessed,21089229[PMID]
1290,970,Hereditary sensory and autonomic neuropathy type 2,RETREG1,reticulophagy regulator 1,gene with protein product,5p15.1,Disease-causing germline mutation(s) (loss of function) in,Assessed,21089229[PMID]
1290,970,Hereditary sensory and autonomic neuropathy type 2,KIF1A,kinesin family member 1A,gene with protein product,2q37.3,Disease-causing germline mutation(s) (loss of function) in,Assessed,21089229[PMID]
1288,40,"Acromesomelic dysplasia, Maroteaux type",NPR2,natriuretic peptide receptor 2,gene with protein product,9p13.3,Disease-causing germline mutation(s) in,Assessed,22691581[PMID]_15146390[PMID]
1289,969,Acromicric dysplasia,FBN1,fibrillin 1,gene with protein product,15q21.1,Disease-causing germline mutation(s) in,Assessed,21683322[PMID]
1289,969,Acromicric dysplasia,LTBP3,latent transforming growth factor beta binding protein 3,gene with protein product,11q13.1,Disease-causing germline mutation(s) in,Assessed,27068007[PMID]
1294,974,Adams-Oliver syndrome,NOTCH1,notch receptor 1,gene with protein product,9q34.3,Disease-causing germline mutation(s) in,Assessed,25132448[PMID]
1294,974,Adams-Oliver syndrome,ARHGAP31,Rho GTPase activating protein 31,gene with protein product,3q13.32-q13.33,Disease-causing germline mutation(s) (gain of function) in,Assessed,21565291[PMID]
1294,974,Adams-Oliver syndrome,DOCK6,dedicator of cytokinesis 6,gene with protein product,19p13.2,Disease-causing germline mutation(s) (loss of function) in,Assessed,21820096[PMID]
1294,974,Adams-Oliver syndrome,RBPJ,recombination signal binding protein for immunoglobulin kappa J region,gene with protein product,4p15.2,Disease-causing germline mutation(s) in,Assessed,22883147[PMID]
1294,974,Adams-Oliver syndrome,EOGT,EGF domain specific O-linked N-acetylglucosamine transferase,gene with protein product,3p14.1,Disease-causing germline mutation(s) in,Assessed,23522784[PMID]
1294,974,Adams-Oliver syndrome,DLL4,delta like canonical Notch ligand 4,gene with protein product,15q15.1,Disease-causing germline mutation(s) (loss of function) in,Assessed,26299364[PMID]
1292,972,Hereditary continuous muscle fiber activity,KCNA1,potassium voltage-gated channel subfamily A member 1,gene with protein product,12p13.32,Disease-causing germline mutation(s) in,Assessed,17136396[PMID]
1280,959,Acro-renal-ocular syndrome,SALL4,spalt like transcription factor 4,gene with protein product,20q13.2,Disease-causing germline mutation(s) in,Assessed,16086360[PMID]_20301547[PMID]
1287,968,"Acromesomelic dysplasia, Hunter-Thompson type",GDF5,growth differentiation factor 5,gene with protein product,20q11.22,Disease-causing germline mutation(s) (loss of function) in,Assessed,8589725[PMID]
1339,1031,Enamel-renal syndrome,FAM20A,FAM20A golgi associated secretory pathway pseudokinase,gene with protein product,17q24.2,Disease-causing germline mutation(s) in,Assessed,23434854[PMID]
1328,64,Alström syndrome,ALMS1,ALMS1 centrosome and basal body associated protein,gene with protein product,2p13.1,Disease-causing germline mutation(s) in,Assessed,20301444[PMID]
16884,139396,X-linked cerebral adrenoleukodystrophy,ABCD1,ATP binding cassette subfamily D member 1,gene with protein product,Xq28,Disease-causing germline mutation(s) in,Assessed,20301491[PMID]
16885,139399,Adrenomyeloneuropathy,ABCD1,ATP binding cassette subfamily D member 1,gene with protein product,Xq28,Disease-causing germline mutation(s) in,Assessed,20301491[PMID]
16887,139406,Encephalopathy due to prosaposin deficiency,PSAP,prosaposin,gene with protein product,10q22.1,Disease-causing germline mutation(s) in,Assessed,1371116[PMID]
1321,701,Alopecia universalis,HR,HR lysine demethylase and nuclear receptor corepressor,gene with protein product,8p21.3,Disease-causing germline mutation(s) in,Assessed,9445480[PMID]
1323,1010,Autosomal dominant palmoplantar keratoderma and congenital alopecia,GJA1,gap junction protein alpha 1,gene with protein product,6q22.31,Disease-causing germline mutation(s) (gain of function) in,Assessed,25168385[PMID]
1313,1001,2q37 microdeletion syndrome,HDAC4,histone deacetylase 4,gene with protein product,2q37.3,Role in the phenotype of,Assessed,20691407[PMID]_23188045[PMID]
1315,59,Allan-Herndon-Dudley syndrome,SLC16A2,solute carrier family 16 member 2,gene with protein product,Xq13.2,Disease-causing germline mutation(s) in,Assessed,20301789[PMID]_18398436[PMID]
1502,127,Borjeson-Forssman-Lehmann syndrome,PHF6,PHD finger protein 6,gene with protein product,Xq26.2,Disease-causing germline mutation(s) (loss of function) in,Assessed,12415272[PMID]_23229552[PMID]
1501,1263,Boomerang dysplasia,FLNB,filamin B,gene with protein product,3p14.3,Disease-causing germline mutation(s) in,Assessed,20301736[PMID]_15994868[PMID]
1478,1234,Bartsocas-Papas syndrome,RIPK4,receptor interacting serine/threonine kinase 4,gene with protein product,21q22.3,Disease-causing germline mutation(s) (loss of function) in,Assessed,22197488[PMID]_22197489[PMID]
1476,1231,Barber-Say syndrome,TWIST2,twist family bHLH transcription factor 2,gene with protein product,2q37.3,Disease-causing germline mutation(s) in,Assessed,26119818[PMID]
1474,1229,Congenital intrauterine infection-like syndrome,OCLN,occludin,gene with protein product,5q13.2,Disease-causing germline mutation(s) (loss of function) in,Assessed,20727516[PMID]
1473,109,Bannayan-Riley-Ruvalcaba syndrome,PTEN,phosphatase and tensin homolog,gene with protein product,10q23.31,Disease-causing germline mutation(s) in,Assessed,20301661[PMID]
1485,1239,Behr syndrome,OPA1,OPA1 mitochondrial dynamin like GTPase,gene with protein product,3q29,Disease-causing germline mutation(s) in,Assessed,35741767[PMID]
1481,115,Congenital contractural arachnodactyly,FBN2,fibrillin 2,gene with protein product,5q23.3,Disease-causing germline mutation(s) in,Assessed,20301560[PMID]
16694,137625,Glycogen storage disease due to muscle and heart glycogen synthase deficiency,GYS1,glycogen synthase 1,gene with protein product,19q13.33,Disease-causing germline mutation(s) in,Assessed,
16690,137608,Segmental outgrowth-lipomatosis-arteriovenous malformation-epidermal nevus syndrome,PTEN,phosphatase and tensin homolog,gene with protein product,10q23.31,Disease-causing germline mutation(s) in,Assessed,17392703[PMID]
1533,1299,Branchioskeletogenital syndrome,CDH11,cadherin 11,gene with protein product,16q21,Disease-causing germline mutation(s) (loss of function) in,Assessed,28988429[PMID]_29271567[PMID]
1534,1300,Autosomal dominant popliteal pterygium syndrome,IRF6,interferon regulatory factor 6,gene with protein product,1q32.2,Disease-causing germline mutation(s) in,Assessed,20301581[PMID]
16697,137634,Overgrowth-macrocephaly-facial dysmorphism syndrome,RNF135,ring finger protein 135,gene with protein product,17q11.2,Disease-causing germline mutation(s) in,Assessed,17632510[PMID]
1530,1297,Branchio-oculo-facial syndrome,TFAP2A,transcription factor AP-2 alpha,gene with protein product,6p24.3,Disease-causing germline mutation(s) in,Assessed,21634087[PMID]_18423521[PMID]
16698,137639,Hypomyelinating leukodystrophy-ataxia-hypodontia-hypomyelination syndrome,POLR3A,RNA polymerase III subunit A,gene with protein product,10q22.3,Disease-causing germline mutation(s) in,Assessed,27506977[PMID]
1511,1276,Brachydactyly-arterial hypertension syndrome,PDE3A,phosphodiesterase 3A,gene with protein product,12p12.2,Disease-causing germline mutation(s) (gain of function) in,Assessed,25961942[PMID]
1510,1275,Brachydactyly-elbow wrist dysplasia syndrome,MACROH2A1,macroH2A.1 histone,gene with protein product,5q31.1,Disease-causing germline mutation(s) in,Assessed,30711920[PMID]
1510,1275,Brachydactyly-elbow wrist dysplasia syndrome,PITX1,paired like homeodomain 1,gene with protein product,5q31.1,Disease-causing germline mutation(s) in,Assessed,23022097[PMID]
1506,1270,Bowen-Conradi syndrome,EMG1,EMG1 N1-specific pseudouridine methyltransferase,gene with protein product,12p13.31,Disease-causing germline mutation(s) in,Assessed,19463982[PMID]
16684,137605,Legius syndrome,SPRED1,sprouty related EVH1 domain containing 1,gene with protein product,15q14,Disease-causing germline mutation(s) in,Assessed,20945555[PMID]
1427,1168,Ataxia-oculomotor apraxia type 1,APTX,aprataxin,gene with protein product,9p21.1,Disease-causing germline mutation(s) in,Assessed,20301629[PMID]
16725,137834,Frank-Ter Haar syndrome,SH3PXD2B,SH3 and PX domains 2B,gene with protein product,5q35.1,Disease-causing germline mutation(s) (loss of function) in,Assessed,20137777[PMID]
16724,137831,X-linked intellectual disability-cerebellar hypoplasia syndrome,OPHN1,oligophrenin 1,gene with protein product,Xq12,Disease-causing germline mutation(s) in,Assessed,20528889[PMID]
1429,1170,Autosomal recessive cerebelloparenchymal disorder type 3,PMPCA,"peptidase, mitochondrial processing subunit alpha",gene with protein product,9q34.3,Disease-causing germline mutation(s) in,Assessed,25808372[PMID]
1433,1175,X-linked progressive cerebellar ataxia,GJB1,gap junction protein beta 1,gene with protein product,Xq13.1,Disease-causing germline mutation(s) in,Assessed,23773993[PMID]
1438,1180,Ataxia-hypogonadism-choroidal dystrophy syndrome,PNPLA6,"patatin like domain 6, lysophospholipase",gene with protein product,19p13.2,Disease-causing germline mutation(s) in,Assessed,24355708[PMID]
1437,1173,Cerebellar ataxia-hypogonadism syndrome,PNPLA6,"patatin like domain 6, lysophospholipase",gene with protein product,19p13.2,Disease-causing germline mutation(s) in,Assessed,24355708[PMID]
1437,1173,Cerebellar ataxia-hypogonadism syndrome,RNF216,ring finger protein 216,gene with protein product,7p22.1,Disease-causing germline mutation(s) (loss of function) in,Assessed,23656588[PMID]
16706,137681,Hepatoencephalopathy due to combined oxidative phosphorylation defect type 1,GFM1,G elongation factor mitochondrial 1,gene with protein product,3q25.32,Disease-causing germline mutation(s) in,Assessed,23430926[PMID]
16704,137675,Histiocytoid cardiomyopathy,MT-CYB,mitochondrially encoded cytochrome b,gene with protein product,mitochondria,Candidate gene tested in,Not yet assessed,10960495[PMID]
16705,137678,Spondyloepiphyseal dysplasia with metatarsal shortening,COL2A1,collagen type II alpha 1 chain,gene with protein product,12q13.11,Disease-causing germline mutation(s) in,Assessed,17726487[PMID]
16711,137754,Aminoacylase 1 deficiency,ACY1,aminoacylase 1,gene with protein product,3p21.2,Disease-causing germline mutation(s) (loss of function) in,Assessed,16465618[PMID]
1414,1145,Infantile-onset X-linked spinal muscular atrophy,UBA1,ubiquitin like modifier activating enzyme 1,gene with protein product,Xp11.3,Disease-causing germline mutation(s) (loss of function) in,Assessed,18179898[PMID]
16715,137776,Lethal congenital contracture syndrome type 2,ERBB3,erb-b2 receptor tyrosine kinase 3,gene with protein product,12q13.2,Disease-causing germline mutation(s) (loss of function) in,Assessed,17701904[PMID]
1416,1149,Kuskokwim syndrome,FKBP10,FKBP prolyl isomerase 10,gene with protein product,17q21.2,Disease-causing germline mutation(s) in,Assessed,23712425[PMID]
1423,1159,Progressive pseudorheumatoid dysplasia,CCN6,cellular communication network factor 6,gene with protein product,6q21,Disease-causing germline mutation(s) in,Assessed,10471507[PMID]_22987568[PMID]
16716,137783,Lethal congenital contracture syndrome type 3,PIP5K1C,phosphatidylinositol-4-phosphate 5-kinase type 1 gamma,gene with protein product,19p13.3,Disease-causing germline mutation(s) in,Assessed,17701898[PMID]
16716,137783,Lethal congenital contracture syndrome type 3,MYBPC1,myosin binding protein C1,gene with protein product,12q23.2,Disease-causing germline mutation(s) in,Assessed,22610851[PMID]
1461,1215,Autosomal dominant optic atrophy plus syndrome,OPA1,OPA1 mitochondrial dynamin like GTPase,gene with protein product,3q29,Disease-causing germline mutation(s) in,Assessed,18158317[PMID]_22776096[PMID]
1462,1216,Autosomal dominant congenital benign spinal muscular atrophy,TRPV4,transient receptor potential cation channel subfamily V member 4,gene with protein product,12q24.11,Disease-causing germline mutation(s) in,Assessed,24830047[PMID]_22526352[PMID]
1469,1225,Baller-Gerold syndrome,RECQL4,RecQ like helicase 4,gene with protein product,8q24.3,Disease-causing germline mutation(s) in,Assessed,20301383[PMID]_15964893[PMID]
1470,1226,Bamforth-Lazarus syndrome,FOXE1,forkhead box E1,gene with protein product,9q22.33,Disease-causing germline mutation(s) (loss of function) in,Assessed,9697705[PMID]_12165566[PMID]_25905381[PMID]
16737,137888,Auriculocondylar syndrome,GNAI3,G protein subunit alpha i3,gene with protein product,1p13.3,Disease-causing germline mutation(s) in,Assessed,22560091[PMID]
16737,137888,Auriculocondylar syndrome,PLCB4,phospholipase C beta 4,gene with protein product,20p12.3-p12.2,Disease-causing germline mutation(s) in,Assessed,22560091[PMID]
16737,137888,Auriculocondylar syndrome,EDN1,endothelin 1,gene with protein product,6p24.1,Disease-causing germline mutation(s) in,Assessed,24268655[PMID]
16738,137893,Male infertility due to large-headed multiflagellar polyploid spermatozoa,AURKC,aurora kinase C,gene with protein product,19q13.43,Disease-causing germline mutation(s) (loss of function) in,Assessed,17435757[PMID]_21733974[PMID]
16738,137893,Male infertility due to large-headed multiflagellar polyploid spermatozoa,DNHD1,dynein heavy chain domain 1,gene with protein product,11p15.4,Disease-causing germline mutation(s) in,Assessed,34932939[PMID]
16738,137893,Male infertility due to large-headed multiflagellar polyploid spermatozoa,CFAP47,cilia and flagella associated protein 47,gene with protein product,Xp21.1,Disease-causing germline mutation(s) in,Assessed,33472045[PMID]
16738,137893,Male infertility due to large-headed multiflagellar polyploid spermatozoa,DNAH10,dynein axonemal heavy chain 10,gene with protein product,12q24.31,Disease-causing germline mutation(s) in,Assessed,34237282[PMID]
16738,137893,Male infertility due to large-headed multiflagellar polyploid spermatozoa,AKAP3,A-kinase anchoring protein 3,gene with protein product,12p13.32,Disease-causing germline mutation(s) (loss of function) in,Assessed,35228300[PMID]
16738,137893,Male infertility due to large-headed multiflagellar polyploid spermatozoa,CFAP61,cilia and flagella associated protein 61,gene with protein product,20p11.23,Disease-causing germline mutation(s) in,Assessed,35387802[PMID]
16738,137893,Male infertility due to large-headed multiflagellar polyploid spermatozoa,ARMC12,armadillo repeat containing 12,gene with protein product,6p21.31,Disease-causing germline mutation(s) (loss of function) in,Assessed,35534203[PMID]
16738,137893,Male infertility due to large-headed multiflagellar polyploid spermatozoa,IFT74,intraflagellar transport 74,gene with protein product,9p21.2,Disease-causing germline mutation(s) in,Assessed,33689014[PMID]
1443,1186,Infantile-onset spinocerebellar ataxia,TWNK,twinkle mtDNA helicase,gene with protein product,10q24.31,Disease-causing germline mutation(s) in,Assessed,20301746[PMID]
16739,137898,Leukoencephalopathy with brain stem and spinal cord involvement-high lactate syndrome,DARS2,"aspartyl-tRNA synthetase 2, mitochondrial",gene with protein product,1q25.1,Disease-causing germline mutation(s) in,Assessed,17384640[PMID]
1444,1187,Lethal ataxia with deafness and optic atrophy,PRPS1,phosphoribosyl pyrophosphate synthetase 1,gene with protein product,Xq22.3,Disease-causing germline mutation(s) (loss of function) in,Assessed,20301738[PMID]
1447,1190,Atelosteogenesis type I,FLNB,filamin B,gene with protein product,3p14.3,Disease-causing germline mutation(s) (gain of function) in,Assessed,20301736[PMID]
16742,137908,Hypotonia with lactic acidemia and hyperammonemia,MRPS22,mitochondrial ribosomal protein S22,gene with protein product,3q23,Disease-causing germline mutation(s) in,Assessed,17873122[PMID]
1451,1200,Burn-McKeown syndrome,POLR1A,RNA polymerase I subunit A,gene with protein product,2p11.2,Disease-causing germline mutation(s) in,Assessed,25913037[PMID]
1451,1200,Burn-McKeown syndrome,TXNL4A,thioredoxin like 4A,gene with protein product,18q23,Disease-causing germline mutation(s) (loss of function) in,Assessed,25434003[PMID]
17070,141258,Tessier number 4 facial cleft,SPECC1L,sperm antigen with calponin homology and coiled-coil domains 1 like,gene with protein product,22q11.23,Disease-causing germline mutation(s) in,Assessed,21703590[PMID]
1647,1458,CODAS syndrome,LONP1,"lon peptidase 1, mitochondrial",gene with protein product,19p13.2,Disease-causing germline mutation(s) in,Assessed,25574826[PMID]
1644,1454,Joubert syndrome with hepatic defect,TMEM67,transmembrane protein 67,gene with protein product,8q22.1,Disease-causing germline mutation(s) in,Assessed,19574260[PMID]_17160906[PMID]_20615230[PMID]_20301500[PMID]
1644,1454,Joubert syndrome with hepatic defect,RPGRIP1L,RPGRIP1 like,gene with protein product,16q12.2,Disease-causing germline mutation(s) in,Assessed,19574260[PMID]_20301500[PMID]
1644,1454,Joubert syndrome with hepatic defect,CC2D2A,coiled-coil and C2 domain containing 2A,gene with protein product,4p15.32,Disease-causing germline mutation(s) in,Assessed,19574260[PMID]_20301500[PMID]
1644,1454,Joubert syndrome with hepatic defect,INPP5E,inositol polyphosphate-5-phosphatase E,gene with protein product,9q34.3,Disease-causing germline mutation(s) in,Assessed,20301500[PMID]_19668216[PMID]
1645,190,Coats disease,NDP,norrin cystine knot growth factor NDP,gene with protein product,Xp11.3,Candidate gene tested in,Not yet assessed,20301506[PMID]_10484772[PMID]
1634,1429,Benign hereditary chorea,NKX2-1,NK2 homeobox 1,gene with protein product,14q13.3,Disease-causing germline mutation(s) in,Assessed,12891678[PMID]_16220345[PMID]_24555207[PMID]
1634,1429,Benign hereditary chorea,ADCY5,adenylate cyclase 5,gene with protein product,3q21.1,Disease-causing germline mutation(s) in,Assessed,26085604[PMID]
1632,1426,Greenberg dysplasia,LBR,lamin B receptor,gene with protein product,1q42.12,Disease-causing germline mutation(s) in,Assessed,21327084[PMID]
1633,1427,Autosomal recessive otospondylomegaepiphyseal dysplasia,COL11A2,collagen type XI alpha 2 chain,gene with protein product,6p21.32,Disease-causing germline mutation(s) (loss of function) in,Assessed,10677296[PMID]_21438135[PMID]
1638,1435,Xq21 microdeletion syndrome,POU3F4,POU class 3 homeobox 4,gene with protein product,Xq21.1,Disease-causing germline mutation(s) in,Assessed,17935254[PMID]
17086,155878,Submucosal cleft palate,GRHL3,grainyhead like transcription factor 3,gene with protein product,1p36.11,Major susceptibility factor in,Assessed,27018472[PMID]_27018475[PMID]
17086,155878,Submucosal cleft palate,UBB,ubiquitin B,gene with protein product,17p11.2,Candidate gene tested in,Not yet assessed,17468296[PMID]
1663,1490,Corneal dystrophy-perceptive deafness syndrome,SLC4A11,solute carrier family 4 member 11,gene with protein product,20p13,Disease-causing germline mutation(s) in,Assessed,17220209[PMID]_18922146[PMID]
1660,1486,Lethal congenital contracture syndrome type 1,GLE1,GLE1 RNA export mediator,gene with protein product,9q34.11,Disease-causing germline mutation(s) in,Assessed,18204449[PMID]
17074,141276,Tessier number 7 facial cleft,PTCH2,patched 2,gene with protein product,1p34.1,Disease-causing germline mutation(s) in,Assessed,19208383[PMID]
17074,141276,Tessier number 7 facial cleft,SPECC1L,sperm antigen with calponin homology and coiled-coil domains 1 like,gene with protein product,22q11.23,Disease-causing germline mutation(s) in,Assessed,21703590[PMID]
1649,1466,COFS syndrome,ERCC2,"ERCC excision repair 2, TFIIH core complex helicase subunit",gene with protein product,19q13.32,Disease-causing germline mutation(s) in,Assessed,11443545[PMID]
1649,1466,COFS syndrome,ERCC6,"ERCC excision repair 6, chromatin remodeling factor",gene with protein product,10q11.23,Disease-causing germline mutation(s) in,Assessed,20301516[PMID]
1649,1466,COFS syndrome,ERCC5,"ERCC excision repair 5, endonuclease",gene with protein product,13q33.1,Disease-causing germline mutation(s) in,Assessed,24700531[PMID]
1649,1466,COFS syndrome,ERCC1,"ERCC excision repair 1, endonuclease non-catalytic subunit",gene with protein product,19q13.32,Disease-causing germline mutation(s) in,Assessed,17273966[PMID]
17077,141291,Cleft lip and alveolus,MSX1,msh homeobox 1,gene with protein product,4p16.2,Major susceptibility factor in,Assessed,
17077,141291,Cleft lip and alveolus,TP63,tumor protein p63,gene with protein product,3q28,Major susceptibility factor in,Assessed,16740912[PMID]_21567929[PMID]
17077,141291,Cleft lip and alveolus,IRF6,interferon regulatory factor 6,gene with protein product,1q32.2,Major susceptibility factor in,Assessed,17438386[PMID]
17077,141291,Cleft lip and alveolus,NECTIN1,nectin cell adhesion molecule 1,gene with protein product,11q23.3,Major susceptibility factor in,Assessed,16674562[PMID]
1610,1410,Uncombable hair syndrome,PADI3,peptidyl arginine deiminase 3,gene with protein product,1p36.13,Disease-causing germline mutation(s) (loss of function) in,Assessed,27866708[PMID]
1610,1410,Uncombable hair syndrome,TGM3,transglutaminase 3,gene with protein product,20p13,Disease-causing germline mutation(s) (loss of function) in,Assessed,27866708[PMID]
1612,1412,Tarsal-carpal coalition syndrome,NOG,noggin,gene with protein product,17q22,Disease-causing germline mutation(s) in,Assessed,11545688[PMID]_21538686[PMID]
1614,1416,Familial calcium pyrophosphate deposition,TNFRSF11B,TNF receptor superfamily member 11b,gene with protein product,8q24.12,Candidate gene tested in,Not yet assessed,29578045[PMID]
1614,1416,Familial calcium pyrophosphate deposition,ANKH,ANKH inorganic pyrophosphate transport regulator,gene with protein product,5p15.2,Disease-causing germline mutation(s) in,Assessed,21102543[PMID]
1600,1394,Cerebrofaciothoracic dysplasia,TMCO1,transmembrane and coiled-coil domains 1,gene with protein product,1q24.1,Disease-causing germline mutation(s) (loss of function) in,Assessed,24194475[PMID]
1607,1401,CHAND syndrome,RIPK4,receptor interacting serine/threonine kinase 4,gene with protein product,21q22.3,Disease-causing germline mutation(s) in,Assessed,28940926[PMID]_25098893[PMID]
17030,141074,External auditory canal aplasia/hypoplasia,TSHZ1,teashirt zinc finger homeobox 1,gene with protein product,18q22.3,Disease-causing germline mutation(s) (loss of function) in,Assessed,22152683[PMID]
1624,174,"Metaphyseal chondrodysplasia, Schmid type",COL10A1,collagen type X alpha 1 chain,gene with protein product,6q22.1,Disease-causing germline mutation(s) in,Assessed,17403716[PMID]
1631,1425,Desbuquois syndrome,CSGALNACT1,chondroitin sulfate N-acetylgalactosaminyltransferase 1,gene with protein product,8p21.3,Disease-causing germline mutation(s) in,Assessed,31325655[PMID]_27599773[PMID]
1631,1425,Desbuquois syndrome,CANT1,calcium activated nucleotidase 1,gene with protein product,17q25.3,Disease-causing germline mutation(s) (loss of function) in,Assessed,22539336[PMID]
1631,1425,Desbuquois syndrome,XYLT1,xylosyltransferase 1,gene with protein product,16p12.3,Disease-causing germline mutation(s) (loss of function) in,Assessed,24581741[PMID]
17135,156728,"Spondyloepimetaphyseal dysplasia, matrilin-3 type",MATN3,matrilin 3,gene with protein product,2p24.1,Disease-causing germline mutation(s) in,Assessed,15121775[PMID]
1580,163,Hereditary hyperferritinemia-cataract syndrome,FTL,ferritin light chain,gene with protein product,19q13.33,Disease-causing germline mutation(s) (gain of function) in,Assessed,10759702[PMID]
